"id","nameEn","nameRu","nameHy","descriptionEn","descriptionRu","descriptionHy","createdAt","updatedAt"
"22","Electrical Repair","Электроремонт","Էլեկտրական նորոգում","Fix electrical issues","Устранение электропроблем","Էլեկտրական խնդիրների լուծում","2026-01-29 14:40:29.701","2026-01-29 14:40:29.701"
"23","Socket Replacement","Замена розетки","Վարդակի փոխարինում","Replace power sockets","Замена розеток","Վարդակների փոխարինում","2026-01-29 14:40:29.701","2026-01-29 14:40:29.701"
"24","Switch Installation","Установка выключателя","Անջատիչի տեղադրում","Install switches","Установка выключателей","Անջատիչների տեղադրում","2026-01-29 14:40:29.701","2026-01-29 14:40:29.701"
"25","Lighting Installation","Установка освещения","Լուսավորման տեղադրում","Install lighting","Установка освещения","Լուսավորման տեղադրում","2026-01-29 14:40:29.701","2026-01-29 14:40:29.701"
"26","Plumbing Repair","Сантехнический ремонт","Սանտեխնիկայի նորոգում","Fix plumbing issues","Ремонт сантехники","Սանտեխնիկայի խնդիրների լուծում","2026-01-29 14:40:29.701","2026-01-29 14:40:29.701"
"27","Pipe Replacement","Замена труб","Խողովակի փոխարինում","Replace pipes","Замена труб","Խողովակների փոխարինում","2026-01-29 14:40:29.701","2026-01-29 14:40:29.701"
"28","Drain Cleaning","Чистка слива","Կոյուղու մաքրում","Clean blocked drains","Чистка засоров","Կոյուղու խցանման մաքրում","2026-01-29 14:40:29.701","2026-01-29 14:40:29.701"
"29","Faucet Replacement","Замена смесителя","Ծորակի փոխարինում","Replace faucets","Замена смесителей","Ծորակների փոխարինում","2026-01-29 14:40:29.701","2026-01-29 14:40:29.701"
"30","Door Repair","Ремонт двери","Դռան նորոգում","Fix doors","Ремонт дверей","Դռների նորոգում","2026-01-29 14:40:29.701","2026-01-29 14:40:29.701"
"31","Lock Replacement","Замена замка","Փականի փոխարինում","Replace locks","Замена замков","Փականների փոխարինում","2026-01-29 14:40:29.701","2026-01-29 14:40:29.701"
"32","Window Repair","Ремонт окна","Պատուհանի նորոգում","Fix windows","Ремонт окон","Պատուհանների նորոգում","2026-01-29 14:40:29.701","2026-01-29 14:40:29.701"
"33","Glass Replacement","Замена стекла","Ապակու փոխարինում","Replace broken glass","Замена стекла","Կոտրված ապակու փոխարինում","2026-01-29 14:40:29.701","2026-01-29 14:40:29.701"
"34","Furniture Assembly","Сборка мебели","Կահույքի հավաքում","Assemble furniture","Сборка мебели","Կահույքի հավաքում","2026-01-29 14:40:29.701","2026-01-29 14:40:29.701"
"35","Shelf Installation","Установка полки","Դարակի տեղադրում","Install shelves","Установка полок","Դարակների տեղադրում","2026-01-29 14:40:29.701","2026-01-29 14:40:29.701"
"36","TV Wall Mounting","Крепление ТВ","Հեռուստացույցի ամրացում","Mount TV on wall","Крепление телевизора","Հեռուստացույցի պատին ամրացում","2026-01-29 14:40:29.701","2026-01-29 14:40:29.701"
"37","Appliance Repair","Ремонт техники","Տեխնիկայի նորոգում","Fix home appliances","Ремонт бытовой техники","Կենցաղային տեխնիկայի նորոգում","2026-01-29 14:40:29.701","2026-01-29 14:40:29.701"
"38","Washing Machine Repair","Ремонт стиральной машины","Լվացքի մեքենայի նորոգում","Fix washing machines","Ремонт стиральных машин","Լվացքի մեքենաների նորոգում","2026-01-29 14:40:29.701","2026-01-29 14:40:29.701"
"39","Refrigerator Repair","Ремонт холодильника","Սառնարանի նորոգում","Fix refrigerators","Ремонт холодильников","Սառնարանների նորոգում","2026-01-29 14:40:29.701","2026-01-29 14:40:29.701"
